                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81937,                0.56009,                 1.0953,                0.94308,                0.88175,                0.94115,                0.73546,                0.83437,                0.51439,                 1.0695,             0.00047367,             0.00047367,             0.00047367
                     36,                0.79266,                0.55332,                 1.0957,                0.94958,                0.87685,                0.94418,                0.74152,                0.82832,                0.50132,                 1.0692,              0.0004666,              0.0004666,              0.0004666
                     37,                0.81133,                0.57954,                  1.119,                0.93145,                0.86663,                0.93074,                0.72617,                0.86043,                0.55266,                 1.0885,             0.00045953,             0.00045953,             0.00045953
                     38,                0.81092,                0.55528,                 1.1099,                0.95117,                0.88872,                0.94892,                0.75091,                0.81691,                0.48169,                 1.0725,             0.00045246,             0.00045246,             0.00045246
                     39,                 0.7867,                0.54547,                 1.0821,                0.94404,                0.87969,                0.93558,                0.74076,                0.80725,                0.50387,                 1.0739,             0.00044539,             0.00044539,             0.00044539
                     40,                0.79625,                0.54665,                  1.092,                0.93619,                0.87803,                0.94254,                0.74826,                 0.8084,                0.48906,                 1.0698,             0.00043832,             0.00043832,             0.00043832
                     41,                0.77484,                0.54301,                 1.0852,                0.95475,                0.87421,                0.94256,                0.74672,                0.80854,                  0.481,                 1.0693,             0.00043126,             0.00043126,             0.00043126
                     42,                0.79357,                0.54672,                  1.102,                0.94862,                0.88527,                0.94161,                0.74044,                0.82881,                0.49302,                 1.0721,             0.00042419,             0.00042419,             0.00042419
                     43,                0.75668,                0.52672,                 1.0605,                0.94859,                 0.8906,                0.94986,                0.75234,                0.79466,                 0.4525,                 1.0598,             0.00041712,             0.00041712,             0.00041712
                     44,                0.78471,                0.53309,                 1.0988,                0.95385,                0.89199,                 0.9458,                 0.7449,                0.82271,                0.47704,                 1.0657,             0.00041005,             0.00041005,             0.00041005
                     45,                 0.7935,                0.56047,                 1.1013,                0.95194,                 0.8944,                 0.9484,                0.75434,                0.79971,                0.46396,                 1.0565,             0.00040298,             0.00040298,             0.00040298
                     46,                0.79093,                0.53867,                 1.0847,                0.95073,                0.88935,                0.94469,                0.74152,                0.82596,                0.48175,                 1.0705,             0.00039591,             0.00039591,             0.00039591
                     47,                0.77934,                 0.5303,                 1.0794,                0.95898,                0.88156,                 0.9448,                0.74809,                0.81206,                0.47786,                 1.0607,             0.00038884,             0.00038884,             0.00038884
                     48,                0.76325,                0.51285,                 1.0842,                0.93715,                0.89546,                0.95208,                0.75661,                0.79367,                0.46071,                 1.0571,             0.00038178,             0.00038178,             0.00038178
                     49,                0.78712,                0.51495,                 1.0975,                0.95345,                 0.8906,                0.95108,                0.75367,                0.81137,                0.46156,                 1.0639,             0.00037471,             0.00037471,             0.00037471
                     50,                0.77106,                0.52599,                 1.0713,                0.95283,                 0.8906,                0.94909,                0.75363,                0.80476,                0.46712,                 1.0569,             0.00036764,             0.00036764,             0.00036764
                     51,                0.74219,                0.51006,                 1.0485,                0.95277,                 0.9016,                0.95668,                0.76079,                0.79057,                 0.4373,                 1.0627,             0.00036057,             0.00036057,             0.00036057
                     52,                0.74847,                0.50057,                 1.0702,                0.95583,                0.88222,                 0.9451,                 0.7531,                0.79811,                0.47929,                  1.047,              0.0003535,              0.0003535,              0.0003535
                     53,                0.76478,                0.49821,                 1.0786,                0.94215,                0.88873,                0.94725,                0.75708,                0.78986,                 0.4562,                 1.0568,             0.00034643,             0.00034643,             0.00034643
                     54,                0.76184,                0.50663,                 1.0635,                0.94065,                0.89277,                0.94239,                0.75498,                0.78261,                0.48054,                 1.0501,             0.00033936,             0.00033936,             0.00033936
                     55,                0.74604,                0.51213,                 1.0624,                0.95175,                 0.8999,                0.95015,                0.75809,                 0.7902,                0.44724,                  1.058,              0.0003323,              0.0003323,              0.0003323
                     56,                0.74688,                0.49992,                 1.0717,                0.96849,                0.88501,                0.94855,                0.75786,                0.79569,                0.45374,                 1.0462,             0.00032523,             0.00032523,             0.00032523
                     57,                 0.8043,                0.52654,                 1.1056,                0.96002,                0.88305,                0.94574,                0.75368,                0.78966,                0.46116,                 1.0564,             0.00031816,             0.00031816,             0.00031816
                     58,                0.75406,                0.52708,                 1.0686,                0.96047,                0.89366,                0.94966,                  0.754,                0.78831,                0.44275,                 1.0614,             0.00031109,             0.00031109,             0.00031109
                     59,                0.73293,                0.50669,                 1.0621,                0.95679,                0.89479,                0.94851,                0.76338,                 0.7718,                0.44415,                 1.0461,             0.00030402,             0.00030402,             0.00030402
                     60,                0.72688,                0.48901,                 1.0727,                0.96751,                0.89292,                0.95054,                 0.7542,                0.81145,                0.44857,                 1.0773,             0.00029695,             0.00029695,             0.00029695
                     61,                 0.7338,                0.49066,                 1.0712,                0.93406,                0.90922,                0.95061,                0.76109,                0.78504,                0.44039,                 1.0533,             0.00028988,             0.00028988,             0.00028988
                     62,                0.72829,                0.47871,                  1.062,                0.95772,                0.89634,                0.94867,                0.75993,                0.78158,                 0.4398,                 1.0524,             0.00028282,             0.00028282,             0.00028282
                     63,                 0.7642,                0.51267,                 1.0743,                 0.9476,                0.90084,                0.95232,                0.76257,                0.79045,                0.43771,                 1.0592,             0.00027575,             0.00027575,             0.00027575
                     64,                0.72399,                  0.479,                 1.0617,                0.94839,                0.90922,                0.95148,                0.76491,                  0.776,                0.42353,                 1.0427,             0.00026868,             0.00026868,             0.00026868
                     65,                0.72653,                0.47292,                 1.0543,                0.95035,                0.89991,                 0.9494,                0.76176,                0.77939,                 0.4299,                 1.0498,             0.00026161,             0.00026161,             0.00026161
                     66,                0.72974,                 0.4859,                 1.0651,                0.95048,                0.89804,                0.94731,                0.76215,                0.78592,                0.43062,                 1.0533,             0.00025454,             0.00025454,             0.00025454
                     67,                0.71421,                0.46872,                 1.0535,                0.93949,                0.89629,                0.94625,                0.75751,                 0.7873,                0.44795,                  1.057,             0.00024747,             0.00024747,             0.00024747
                     68,                0.71682,                0.47867,                 1.0623,                0.94897,                0.90317,                0.95133,                 0.7674,                0.78383,                0.42406,                 1.0449,              0.0002404,              0.0002404,              0.0002404
                     69,                0.72714,                0.47534,                 1.0612,                0.95433,                0.89991,                0.95045,                0.76618,                0.77612,                0.42922,                 1.0491,             0.00023334,             0.00023334,             0.00023334
                     70,                0.71841,                0.47797,                 1.0498,                0.95378,                0.89347,                0.94722,                0.76263,                0.76976,                0.44052,                 1.0388,             0.00022627,             0.00022627,             0.00022627
                     71,                0.75101,                0.50948,                 1.0723,                0.94559,                0.91155,                0.95369,                0.76883,                0.76707,                0.41887,                  1.046,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.7151,                0.45146,                 1.0523,                0.95321,                0.90091,                0.95076,                0.76911,                0.77854,                0.41974,                 1.0408,             0.00021213,             0.00021213,             0.00021213
                     73,                0.71392,                  0.478,                 1.0444,                0.95014,                0.88734,                0.94609,                0.76427,                0.77362,                0.43946,                 1.0388,             0.00020506,             0.00020506,             0.00020506
                     74,                0.70056,                0.47426,                 1.0419,                 0.9551,                 0.9013,                0.94986,                0.76431,                0.77361,                0.42318,                  1.044,             0.00019799,             0.00019799,             0.00019799
                     75,                0.69824,                0.45766,                 1.0441,                0.95721,                0.90594,                0.95146,                0.76705,                0.77718,                0.42043,                  1.037,             0.00019092,             0.00019092,             0.00019092
                     76,                0.70652,                0.46155,                 1.0373,                0.95046,                 0.9111,                0.95161,                0.76708,                0.77545,                0.41181,                 1.0457,             0.00018385,             0.00018385,             0.00018385
                     77,                0.75303,                0.49695,                 1.0821,                0.96108,                0.89804,                0.94635,                0.76474,                0.77827,                0.42854,                  1.045,             0.00017679,             0.00017679,             0.00017679
                     78,                0.70794,                0.45061,                 1.0417,                0.95985,                 0.9015,                0.95121,                0.76986,                0.77095,                0.40687,                  1.041,             0.00016972,             0.00016972,             0.00016972
                     79,                0.72099,                0.47079,                 1.0557,                0.95292,                0.91248,                0.95223,                0.76864,                0.76501,                0.41249,                 1.0382,             0.00016265,             0.00016265,             0.00016265
                     80,                0.69156,                0.45934,                 1.0389,                0.94974,                0.89737,                0.94782,                 0.7628,                0.78484,                0.43123,                 1.0482,             0.00015558,             0.00015558,             0.00015558
                     81,                0.69503,                0.46478,                 1.0398,                0.95629,                0.90084,                0.94862,                0.76555,                0.77045,                0.41594,                 1.0482,             0.00014851,             0.00014851,             0.00014851
                     82,                0.70383,                0.44996,                 1.0421,                0.95938,                0.89758,                0.94796,                0.76705,                0.77551,                0.41855,                 1.0404,             0.00014144,             0.00014144,             0.00014144
                     83,                0.70093,                0.45605,                 1.0517,                0.94858,                0.90782,                0.95163,                0.76698,                0.77653,                0.41236,                 1.0487,             0.00013437,             0.00013437,             0.00013437
                     84,                0.69205,                0.45802,                 1.0434,                0.95137,                0.90642,                0.95149,                0.76366,                 0.7822,                0.41527,                 1.0414,             0.00012731,             0.00012731,             0.00012731
                     85,                0.70452,                0.46542,                 1.0538,                0.95757,                0.90352,                0.95064,                0.76919,                0.77013,                0.40215,                 1.0418,             0.00012024,             0.00012024,             0.00012024
