                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1783,                0.59568,                 1.1289,                0.96147,                0.94313,                0.98241,                0.70513,                 1.0601,                0.53471,                  1.071,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.1247,                0.55365,                  1.092,                0.98694,                0.97093,                0.99189,                 0.7245,                 1.0719,                0.44917,                 1.0675,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.1385,                 0.5811,                 1.1171,                0.97933,                0.96405,                0.99012,                 0.7159,                 1.0514,                0.44666,                 1.0647,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.1506,                0.56728,                 1.1067,                  0.967,                0.98547,                0.99279,                0.72391,                  1.053,                0.44253,                 1.0624,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.1515,                0.55885,                 1.1162,                0.98945,                0.96512,                0.99164,                0.72474,                 1.0473,                0.44028,                 1.0482,             0.00044539,             0.00044539,             0.00044539
                     40,                  1.154,                0.55638,                 1.1177,                0.99413,                0.98427,                0.99438,                0.71744,                 1.0837,                0.42623,                 1.0647,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.1672,                0.56828,                 1.1242,                0.98832,                0.98372,                 0.9934,                0.73003,                 1.0396,                0.42112,                 1.0583,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.1143,                0.54384,                 1.0996,                0.99412,                0.98256,                0.99251,                0.73733,                 1.0607,                0.42306,                 1.0716,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.1316,                0.54051,                 1.0978,                0.99406,                 0.9736,                0.99205,                0.74742,                 1.0349,                0.42126,                 1.0553,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.1074,                0.54986,                 1.0926,                 0.9911,                0.98256,                0.99426,                0.73682,                 1.0488,                0.41938,                 1.0723,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.0888,                0.56219,                 1.0978,                0.98143,                0.98547,                0.99245,                0.72825,                 1.0586,                0.41797,                 1.0657,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.1313,                0.54494,                 1.0932,                0.99988,                0.97965,                0.99442,                0.73169,                 1.0709,                0.42829,                 1.0641,             0.00039591,             0.00039591,             0.00039591
                     47,                  1.104,                0.53619,                 1.1037,                0.99124,                0.98695,                0.99451,                0.73342,                 1.0625,                0.42155,                 1.0589,             0.00038884,             0.00038884,             0.00038884
                     48,                  1.109,                0.53027,                 1.0911,                0.99181,                0.97674,                 0.9939,                0.73179,                 1.0428,                0.41791,                 1.0579,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.0928,                0.52726,                 1.0879,                0.99056,                0.97093,                0.99203,                 0.7251,                 1.0467,                0.42215,                 1.0595,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.0736,                0.52451,                 1.0833,                0.98484,                0.97384,                0.99289,                0.72711,                 1.0612,                0.44365,                 1.0595,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.0857,                 0.5236,                  1.086,                  0.981,                0.97384,                0.99006,                0.74559,                 1.0411,                0.41935,                  1.051,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.0954,                0.51867,                 1.0939,                0.99213,                0.97674,                0.99004,                  0.711,                 1.0949,                0.40933,                  1.062,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.1212,                0.53933,                 1.0883,                0.99325,                0.97674,                0.99296,                 0.7471,                  1.039,                0.41264,                 1.0509,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.1061,                0.54062,                    1.1,                 0.9948,                0.97093,                0.99407,                0.72884,                 1.0825,                0.41701,                 1.0637,             0.00033936,             0.00033936,             0.00033936
                     55,                  1.083,                0.51415,                 1.0777,                 0.9912,                0.98182,                0.99277,                 0.7337,                 1.0776,                0.41908,                  1.076,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.0863,                0.50345,                 1.0881,                0.99402,                0.96591,                0.99328,                0.74182,                 1.0318,                0.40909,                 1.0604,             0.00032523,             0.00032523,             0.00032523
