                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.61915,                0.42838,                 1.1935,                0.99018,                0.96915,                0.99222,                0.87435,                0.57905,                0.31564,                 1.2437,             0.00047367,             0.00047367,             0.00047367
                     36,                0.61541,                0.42458,                  1.203,                0.98101,                0.97784,                0.99269,                0.87833,                0.56125,                0.30403,                 1.2244,              0.0004666,              0.0004666,              0.0004666
                     37,                0.60301,                0.41466,                 1.1825,                0.98503,                0.97613,                0.99234,                0.87971,                0.56336,                0.30718,                 1.2132,             0.00045953,             0.00045953,             0.00045953
                     38,                0.58669,                0.41189,                 1.1789,                0.98244,                0.97869,                0.99193,                 0.8762,                0.57192,                0.29858,                 1.2333,             0.00045246,             0.00045246,             0.00045246
                     39,                0.61884,                 0.4286,                 1.1941,                0.98546,                0.98318,                 0.9928,                0.87621,                0.56847,                0.29745,                  1.232,             0.00044539,             0.00044539,             0.00044539
                     40,                0.59153,                0.39518,                  1.188,                 0.9759,                  0.986,                0.99317,                0.87783,                 0.5695,                0.30069,                 1.2368,             0.00043832,             0.00043832,             0.00043832
                     41,                0.60212,                0.40307,                 1.1764,                0.98541,                0.97691,                0.99289,                0.87777,                0.57273,                0.29809,                 1.2435,             0.00043126,             0.00043126,             0.00043126
                     42,                0.57519,                0.40061,                 1.1693,                 0.9801,                0.97511,                0.99197,                 0.8761,                 0.5716,                0.30159,                 1.2427,             0.00042419,             0.00042419,             0.00042419
                     43,                 0.5927,                0.39889,                 1.1742,                0.98424,                0.98316,                0.99342,                0.87891,                0.56634,                0.29131,                 1.2269,             0.00041712,             0.00041712,             0.00041712
                     44,                0.58858,                0.39772,                 1.1873,                0.98582,                0.97523,                0.99194,                0.87894,                0.56038,                0.28963,                 1.2313,             0.00041005,             0.00041005,             0.00041005
                     45,                0.59067,                0.39333,                 1.1733,                0.98301,                0.97346,                0.99206,                0.88195,                0.56221,                0.29349,                 1.2177,             0.00040298,             0.00040298,             0.00040298
