                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66807,                0.53624,                 1.0608,                  0.986,                0.98209,                 0.9922,                0.95906,                0.33851,                0.23279,                0.85696,              0.0002192,              0.0002192,              0.0002192
                     37,                0.64345,                0.57058,                 1.0431,                0.98923,                0.98416,                0.99292,                0.95929,                0.32509,                0.20968,                0.85648,             0.00020506,             0.00020506,             0.00020506
                     38,                0.65216,                0.55124,                 1.0413,                0.98961,                0.98769,                0.99315,                0.96104,                0.32552,                0.20872,                 0.8555,             0.00019092,             0.00019092,             0.00019092
                     39,                0.64252,                 0.5447,                 1.0383,                0.98353,                0.98647,                0.99122,                0.96072,                0.32547,                 0.2108,                0.85314,             0.00017679,             0.00017679,             0.00017679
                     40,                0.64315,                0.54602,                 1.0305,                0.98524,                 0.9821,                0.99189,                0.96259,                0.32287,                0.21191,                 0.8512,             0.00016265,             0.00016265,             0.00016265
                     41,                0.62928,                0.30348,                 1.0232,                0.98088,                0.98641,                 0.9931,                0.96104,                0.33317,                0.21591,                 0.8528,             0.00014851,             0.00014851,             0.00014851
                     42,                0.62147,                0.30231,                 1.0188,                0.99047,                0.97662,                0.99316,                0.96675,                0.32453,                0.20427,                0.85435,             0.00013437,             0.00013437,             0.00013437
                     43,                0.61848,                0.28627,                 1.0053,                0.98989,                0.98426,                0.99319,                0.96651,                0.31845,                 0.1961,                0.84594,             0.00012024,             0.00012024,             0.00012024
                     44,                0.60152,                0.28793,                 1.0034,                0.98581,                0.98847,                 0.9934,                0.96583,                 0.3182,                0.19546,                0.84278,              0.0001061,              0.0001061,              0.0001061
                     45,                0.62637,                0.29692,                 1.0034,                0.98619,                0.98363,                0.99296,                0.96686,                0.31238,                 0.2017,                0.83655,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.59169,                0.27888,                0.99965,                0.98783,                0.98781,                0.99318,                0.96922,                0.30544,                0.18745,                0.83249,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.61572,                0.27965,                 1.0018,                0.98762,                0.98549,                0.99318,                 0.9698,                0.30664,                0.18528,                 0.8316,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.59149,                0.27443,                0.98896,                0.98867,                0.98439,                0.99339,                0.97163,                0.30068,                0.18136,                0.82899,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.59552,                0.26728,                0.98614,                0.98698,                0.98335,                0.99332,                0.97146,                0.29919,                0.18194,                 0.8296,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.55861,                 0.2553,                0.97481,                0.98719,                0.98489,                0.99319,                0.97029,                 0.2991,                0.17983,                0.82801,             2.1277e-05,             2.1277e-05,             2.1277e-05
